warehouse_id,sku_id,wh_cs_actual,vm_cs_actual
1,21894,430,23
1,22079,1490,78
1,22246,186,10
1,22400,629,33
1,22556,1087,57
1,22871,5,0
1,22872,0,0
1,22889,1,0
1,22892,0,0
1,22894,2,0
1,22921,1062,56
1,22926,1133,60
1,22944,231,12
1,23030,189,10
1,23156,0,0
1,23181,2,0
1,23260,2114,111
1,23333,0,0
1,23334,0,0
1,23339,0,0
1,23374,214,11
1,23375,286,15
1,23384,0,0
1,23386,191,10
1,23502,221,12
1,23514,37,2
1,23515,674,36
1,23542,0,0
1,23544,0,0
1,23545,0,1
1,23546,0,0
1,23547,0,0
1,23548,640,34
1,23552,702,37
1,23637,2263,119
1,23638,2024,107
1,23640,666,35
1,23642,690,36
1,23643,476,25
1,23649,927,49
1,23867,66,3
1,23868,252,13
1,23872,0,0
1,23873,0,0
1,24165,456,24
1,24184,1026,54
1,24185,1238,65
1,24193,288,15
1,24201,618,33
1,24202,2715,158
1,24642,0,0
1,24746,74,4
1,24781,0,3
1,24837,704,37
1,24838,876,46
1,24841,855,45
1,24843,944,50
1,24855,35,2
1,24864,110,6
1,24865,1151,61
1,24866,1508,79
1,25032,40,2
1,25129,170,9
1,25250,0,0
1,25251,0,0
1,25253,102,5
1,25254,0,5
1,25255,0,5
1,25431,1422,75
1,25432,558,29
1,25448,0,0
1,25449,0,3
1,25450,476,25
1,25451,456,24
1,25452,343,18
1,25609,2870,151
1,25610,2857,164
1,25624,2490,131
1,26060,1679,88
1,26061,1226,65
1,26062,166,9
1,26063,0,1
1,26214,1840,97
1,26215,1074,57
1,26263,0,0
1,26629,0,5
1,26631,476,25
1,26962,0,0
1,27175,627,33
1,27176,505,27
1,27177,96,5
1,27178,0,5
1,27207,0,5
1,27332,0,4
1,27658,1029,54
1,27659,266,14
1,27687,476,25
1,27697,702,37
1,27698,282,15
1,27699,488,26
1,27700,118,6
1,27717,0,4
1,27724,101,5
1,27726,297,16
1,27727,142,8
1,27728,212,11
1,27814,603,32
1,27815,1079,57
1,27897,2584,136
1,27898,0,3
1,27899,891,47
1,27901,274,14
1,28146,1371,72
1,28229,1011,53
1,28230,332,18
1,28231,332,18
1,28232,390,21
1,28712,425,22
1,29541,833,44
1,30087,909,48
1,30095,0,0
1,30168,290,15
1,30169,413,22
1,30191,275,15
1,30198,1143,60
1,30199,690,36
1,30385,476,25
1,30482,151,8
1,30484,1584,83
1,30485,1415,75
1,30594,462,24
1,30820,357,19
1,30839,0,0
1,30916,0,3
1,30940,0,5
1,30941,237,13
1,30950,0,0
1,30951,2,0
1,31091,800,42
1,31092,254,13
1,31093,151,8
1,31285,0,4
1,31310,189,10
1,31322,800,42
1,31397,0,0
1,31465,0,0
1,31466,0,0
1,31467,0,0
1,31468,0,0
1,31469,0,1
1,31473,0,0
1,31474,0,0
1,31475,0,3
1,31476,0,1
1,31477,0,0
1,31570,0,0
1,31644,0,5
1,31658,237,13
1,31659,237,13
1,31941,0,0
1,31942,0,0
1,31943,0,0
1,31944,0,0
1,31946,0,0
1,31948,0,0
1,31949,0,0
1,31950,0,0
1,31951,0,0
1,31952,0,0
1,32018,285,15
1,32179,343,18
1,32348,293,15
1,32555,750,40
1,32597,1524,80
1,32598,1905,100
1,32599,2684,150
1,32789,0,0
1,32790,0,0
1,32943,0,0
1,33020,0,0
1,33021,0,0
1,33022,0,0
1,33023,0,0
1,33339,142,8
1,33673,0,0
1,33895,0,2
1,33896,0,0
1,33897,0,0
1,34006,113,6
1,34098,0,0
1,34100,0,0
1,34101,0,0
1,34102,0,0
1,34103,0,0
1,34104,0,0
1,34105,0,0
1,87665,0,0
1,908907,0,0
1,998887766,0,0
2,65,0,0
2,66,0,0
2,294,0,0
2,372,127,7
2,487,237,13
2,496,128,7
2,956,0,0
2,1265,0,0
2,1266,0,0
2,2061,0,0
2,2062,0,1
2,2075,2453,129
2,2076,1817,96
2,2111,0,0
2,2115,0,1
2,2150,591,31
2,2151,1434,76
2,2789,113,6
2,2798,1415,75
2,3051,1774,93
2,3079,730,38
2,3166,0,0
2,3169,0,0
2,3170,0,0
2,3177,0,0
2,3179,0,0
2,3352,1317,69
2,4923,170,9
2,14807,1,0
2,14831,216,11
2,14834,500,26
2,14835,428,23
2,15086,0,0
2,15327,348,18
2,15735,0,3
2,16121,171,9
2,16122,196,10
2,16364,447,24
2,16365,339,18
2,16366,363,19
2,16826,269,14
2,16932,0,3
2,16933,0,5
2,17171,1107,58
2,17315,2927,168
2,17328,293,15
2,18345,871,46
2,18452,436,23
2,18570,1277,67
2,18571,1114,59
2,18580,299,16
2,18974,0,0
2,18977,824,43
2,18980,280,15
2,19052,0,3
2,19090,0,0
2,19091,1,0
2,19092,1,0
2,19098,626,33
2,19424,0,0
