warehouse_id,vending_machine_id,sku_group_id,calc_direct_refill
6,570,15007,21
6,611,6365,4
6,627,24820,32
6,630,7146,39
6,618,22244,31
6,2190,32052,122
6,642,6993,6
6,665,32053,39
6,668,14507,19
6,1477,32117,12
6,652,7165,67
6,948,14506,67
6,638,6389,29
6,603,23137,32
6,2549,22242,23
6,621,30447,109
6,654,14991,209
6,647,34755,30
6,2243,33205,20
6,948,6512,230
6,583,6512,19
6,2190,6324,132
6,2242,14822,224
6,630,14920,294
6,620,6613,60
6,646,6512,64
6,4272,6423,28
6,4272,34347,31
6,639,24820,65
6,609,23099,146
6,670,14821,17
6,2243,14821,42
6,663,32116,42
6,654,6614,24
6,630,14507,23
6,1628,21465,20
6,652,19472,30
6,649,6985,13
6,598,14506,52
6,632,14924,95
6,4272,25602,28
6,1815,34753,23
6,635,34752,54
6,645,15004,28
6,4270,33852,45
6,1478,21468,14
6,1478,21466,26
6,609,21466,103
6,631,6507,37
6,638,19472,32
6,2245,21466,47
6,989,24820,71
6,609,35636,126
6,645,32629,6
6,652,6319,79
6,663,21466,82
6,626,33854,36
6,667,7165,148
6,4274,33852,84
6,567,33852,27
6,948,34753,18
6,654,32052,11
6,2547,19472,59
6,635,14506,150
6,2242,7091,51
6,3719,22244,16
6,599,14990,198
6,646,17976,180
6,632,14962,104
6,2190,6423,176
6,4620,32117,43
6,637,17976,375
6,665,6427,30
6,1939,17976,120
6,569,35329,33
6,4710,7091,11
6,634,7165,2
6,4710,1703,114
6,579,22242,6
6,2242,6462,33
6,630,17976,138
6,639,15393,178
6,622,15658,84
6,652,6512,156
6,949,7151,13
6,586,15395,53
6,1078,1707,25
6,1477,6423,25
6,4538,2097,50
6,4088,14962,73
6,4614,1703,51
6,582,1703,39
6,582,30447,110
6,582,2097,89
6,2190,15619,8
6,609,14823,46
6,650,2013,43
6,2052,6389,7
6,1477,14963,72
6,879,15021,15
6,581,6321,76
6,628,23133,46
6,674,34752,27
6,626,6512,69
6,4849,2053,74
6,604,34755,18
6,598,6427,13
6,1477,19644,16
6,619,1709,16
17,4775,14417,4
6,639,14963,295
6,588,6319,35
6,588,1703,18
6,646,14967,67
6,4005,24819,11
6,4540,14964,175
6,651,6265,79
6,640,6462,73
6,2543,19644,4
6,4878,34752,33
6,651,6507,90
6,646,14963,229
6,599,1707,183
6,1477,6319,15
6,4710,17976,165
6,4878,30442,18
6,565,23135,33
6,638,6999,14
6,673,36437,2
6,1078,1843,3
6,649,6319,43
6,648,6265,82
6,587,23098,98
6,2551,2511,82
6,2244,2511,81
6,571,15658,5
6,619,2216,46
5,4027,22229,0
6,628,38623,16
6,632,20059,91
6,653,14506,25
6,1477,7165,32
6,5482,6519,13
2,2132,23261,0
1,4548,13060,3
6,4000,2018,58
6,603,1591,17
6,650,6601,50
6,651,14919,52
6,582,2013,103
6,944,6459,99
6,628,1839,22
6,641,6555,22
6,601,2511,41
6,570,1890,135
8,3791,36498,0
6,4621,6246,6
6,626,40778,16
6,4878,1636,39
6,2243,36563,23
6,675,1843,3
6,948,6537,11
5,5067,34364,0
6,4003,40224,0
6,632,15021,113
6,577,14968,36
6,652,19644,51
66,1224,39962,0
6,2168,2053,47
6,611,20055,11
6,671,6507,7
8,2007,10977,0
9,2026,41039,0
9,855,31553,0
6,944,40611,38
6,944,40223,42
6,642,6601,17
6,595,23135,33
6,1815,32052,79
4,3913,19323,0
6,611,14919,46
6,5480,14823,23
6,2244,36437,65
6,635,40224,97
6,587,14966,298
1,2008,12552,0
6,4538,2449,0
2,1243,4967,0
8,4178,16347,0
6,605,38622,6
1,4209,42000,0
13,4048,10041,17
6,591,40224,15
6,4849,6319,76
8,5427,12000,0
13,3546,32210,0
4,4953,36419,0
4,4953,4625,0
6,4540,35921,21
6,567,1707,48
66,1319,36797,0
6,3184,2125,5
6,618,35920,241
6,607,6246,51
2,5371,31394,0
8,2435,37285,0
16,5552,24212,0
4,4725,22928,0
6,675,42769,6
15,4767,39429,0
2,5163,2151,0
6,626,14970,176
6,2168,40781,50
6,628,14962,4
9,2794,41034,0
6,1628,1636,85
3,3516,27715,0
6,650,17976,199
8,2425,11427,0
8,2425,35334,0
6,4272,6462,46
6,619,14534,3
3,3405,32505,0
6,630,15394,115
6,639,6379,10
6,610,15024,66
3,5731,29748,0
6,568,17110,102
9,851,39193,0
