warehouse_id,vending_machine_id,manufacturer_variant_id,sales
1,5565,24843,24
1,4103,30169,11
1,2004,24843,11
1,1917,36305,5
1,2004,16037,52
1,5128,36509,41
1,5693,40668,7
1,4086,36509,88
1,4425,13330,4
1,4086,38049,140
1,2004,17952,30
1,4086,18105,546
1,2004,24866,38
1,4086,26060,328
1,4618,13744,82
1,1118,36087,63
1,4628,35224,20
1,4103,30191,26
1,4576,27897,8
1,1137,37832,191
1,824,24843,24
1,4105,24838,10
1,839,21345,5
1,5585,15110,8
1,4678,24866,7
1,5585,42780,10
1,4426,37045,4
1,1285,34399,48
1,94,20808,13
1,3124,24841,29
1,2008,33896,31
1,3124,36631,23
1,401,13970,3
1,5310,37832,38
1,479,30941,7
1,4163,18105,276
1,2008,33525,130
1,4164,22926,176
1,3659,41567,3
1,4164,20848,92
1,2008,31309,7
1,1723,20808,35
1,1017,31659,11
1,1831,22921,7
1,2008,19501,90
1,2759,21820,9
1,5144,36486,14
1,5324,20778,55
1,2008,12357,41
1,3284,36631,35
1,4576,33771,34
1,4105,19500,20
1,4550,24841,26
1,89,31475,1
1,5128,14880,6
1,4200,13135,162
1,2008,13744,464
1,4203,22926,10
1,4626,36642,37
1,4204,38049,76
1,1948,34434,15
1,4205,14017,50
1,2008,17591,3
1,4205,13135,13
1,1101,29908,2
1,4205,36635,7
1,1118,13232,32
1,4209,13743,79
1,2008,12670,58
1,3288,13745,6
1,2008,13235,435
1,3288,12327,239
1,3602,36509,3
1,2730,36628,14
1,2008,32348,285
1,2101,24837,5
1,2008,31310,33
1,2278,13330,5
1,5128,20845,118
1,4227,15430,20
1,1831,18087,1
1,4228,13135,62
1,2008,18556,113
1,4228,12327,86
1,2008,33634,14
1,2278,23548,4
1,5309,43640,13
1,3402,37273,49
1,1640,17951,6
1,4106,14017,34
1,2008,12441,30
1,4106,26214,3
1,2009,12485,889
1,4106,33770,26
1,1091,21820,47
1,5409,30820,16
1,2601,21390,1
1,92,25609,116
1,2719,13007,6
1,2928,21851,5
1,2009,33896,103
1,4106,31322,14
1,5139,20784,57
1,5437,36488,20
1,2009,24185,4
1,3748,15827,46
1,2009,17591,13
1,4106,16037,127
1,2009,23260,304
1,4106,32598,18
1,2009,24866,1056
1,4106,21656,14
1,2009,17590,11
1,93,24184,32
1,5144,35326,11
1,145,13743,60
1,5144,13135,59
1,4106,33339,4
1,5144,28229,106
1,564,20854,67
1,5146,19311,49
1,564,24185,6
1,5146,33770,70
1,564,18556,13
1,5146,35326,42
1,5023,40667,9
1,5149,16037,43
1,2040,15430,46
1,824,36509,4
1,47,32555,43
1,915,34396,18
1,62,37273,26
1,2009,12441,126
1,5146,24841,14
1,1724,19434,14
1,167,38049,68
1,2009,33531,63
1,2207,20854,4
1,2101,20808,72
1,5559,39820,5
1,3927,43345,1
1,3777,27207,5
1,2206,20808,50
1,2343,13743,58
