warehouse_id,vending_machine_id,sku_group_id,extra,remove,expiry
6,669,1703,0,18,0
6,4614,1703,51,17,0
6,2546,1703,0,5,4
6,588,1703,0,2,0
6,670,1703,0,26,0
6,1447,1703,1,6,0
6,671,1703,0,10,4
6,582,1703,0,11,3
6,672,1703,0,9,0
6,570,1703,0,6,0
6,641,1703,0,12,0
6,5418,1703,0,0,0
6,673,1703,0,22,0
6,5206,1703,0,2,38
6,5480,1703,0,2,0
6,2547,1703,0,3,0
6,5719,1703,0,1,0
6,1938,1703,0,42,0
6,2549,1703,0,26,25
6,579,1703,0,9,2
1,3237,1703,1,3,6
6,941,1703,0,11,0
6,611,1703,0,5,6
6,631,1703,0,7,0
6,2243,1703,0,0,0
6,3719,1703,0,3,0
6,1066,1703,0,14,0
6,2543,1703,0,0,1
6,5720,1703,0,0,0
6,586,1703,0,4,0
6,577,1703,1,4,0
6,600,1703,0,18,0
6,666,1703,0,5,0
6,1815,1703,0,3,0
6,5481,1703,0,1,0
6,2942,1703,0,4,0
6,4001,1703,0,21,0
6,630,1703,22,13,0
6,587,1703,20,32,4
6,5419,1703,0,0,0
6,675,1703,0,28,0
6,593,1703,0,16,0
6,1078,1703,0,12,0
6,608,1703,13,14,6
6,596,1703,0,9,18
6,636,1703,2,16,0
6,989,1703,0,9,0
6,2550,1703,0,10,0
6,5482,1703,0,0,0
6,603,1703,40,49,3
6,1478,1703,0,4,0
6,619,1703,0,0,8
6,594,1703,0,8,2
6,583,1703,0,0,0
6,598,1703,4,20,5
6,647,1703,0,0,0
6,622,1703,1,0,3
6,6114,1703,0,2,0
6,651,1703,8,11,17
6,944,1703,0,1,0
6,5207,1703,0,4,3
6,6115,1703,0,0,0
6,880,1703,0,0,0
6,4004,1703,0,68,0
6,2052,1703,0,15,0
6,567,1703,0,0,0
6,4002,1703,0,11,40
6,2541,1703,0,2,0
6,618,1703,2,20,3
6,4000,1703,0,22,0
6,4621,1703,1,22,5
6,573,1703,0,11,2
6,879,1703,2,12,5
6,2245,1703,0,8,0
6,614,1703,0,0,0
6,4088,1703,32,17,4
6,1814,1703,0,2,0
6,2551,1703,0,23,0
6,604,1703,0,9,1
6,2242,1703,0,8,0
6,5419,1707,3,1,0
6,4878,1707,0,1,0
6,601,1707,0,1,18
6,947,1707,0,0,0
6,670,1707,4,2,0
6,2541,1707,0,8,0
6,4970,1707,0,8,5
6,5719,1707,0,0,0
6,633,1707,0,4,4
6,2190,1707,0,0,4
6,5418,1707,0,0,0
6,647,1707,0,0,0
6,1477,1707,0,0,2
6,649,1707,0,10,4
6,570,1707,0,12,0
6,642,1707,0,0,0
6,596,1707,0,0,0
6,1476,1707,0,0,0
6,4001,1707,0,0,0
1,3237,1707,0,1,0
6,672,1707,0,0,1
6,880,1707,0,0,0
6,651,1707,0,10,7
6,581,1707,0,0,0
6,2244,1707,0,16,0
6,4849,1707,0,10,0
6,628,1707,0,0,0
6,4088,1707,0,6,0
6,941,1707,0,0,0
6,619,1707,0,0,6
6,637,1707,0,0,1
6,652,1707,0,5,5
6,595,1707,0,2,0
6,634,1707,0,0,0
6,4971,1707,0,0,0
6,2549,1707,0,7,0
6,4538,1707,0,0,0
6,2242,1707,0,0,0
6,668,1707,0,2,8
6,2547,1707,0,1,0
6,604,1707,3,2,0
6,1815,1707,0,0,0
6,629,1707,0,0,4
6,638,1707,0,13,1
6,4004,1707,0,11,0
6,577,1707,0,5,0
6,594,1707,2,2,3
6,654,1707,0,1,0
6,4710,1707,0,0,0
6,2543,1707,0,0,0
6,583,1707,1,3,0
6,582,1707,0,0,1
6,609,1707,0,1,2
6,591,1707,0,0,0
6,944,1707,0,0,0
6,5481,1707,0,0,0
6,623,1707,0,0,0
6,674,1707,0,6,0
6,573,1707,0,0,2
6,4003,1707,0,2,0
6,665,1707,0,1,0
6,666,1707,0,0,0
6,646,1707,0,6,7
6,621,1707,4,2,16
6,2245,1707,0,5,0
6,942,1707,0,0,2
6,5206,1707,0,0,0
6,568,1707,0,4,0
6,598,1707,0,0,0
6,622,1707,0,0,0
6,615,1707,3,0,0
6,599,1707,0,3,3
6,644,1707,0,0,0
6,2243,1707,0,0,0
6,945,1707,0,0,0
6,624,1707,0,9,4
6,610,1707,0,0,0
6,605,1707,0,0,0
6,631,1707,0,8,0
6,616,1707,0,0,8
6,589,1707,0,0,0
6,3719,1707,0,0,0
6,650,1707,0,14,0
6,2551,1707,0,0,0
6,611,1707,0,2,11
6,639,1707,0,8,2
6,1066,1707,0,0,0
6,1628,1707,0,16,6
6,653,1707,0,6,3
6,3184,1707,0,0,0
6,4621,1707,0,1,0
6,2546,1707,0,6,0
6,4539,1707,0,0,0
6,1939,1707,0,0,0
6,2168,1707,0,7,3
6,1814,1707,0,1,0
6,617,1707,1,7,5
6,614,1707,0,0,0
6,588,1707,0,2,0
6,989,1707,0,2,0
6,2052,1707,0,0,0
6,4000,1707,0,0,0
6,600,1707,0,9,0
6,645,1707,0,1,16
6,569,1707,0,0,1
6,1938,1707,0,2,0
6,579,1707,0,1,3
6,671,1707,0,0,0
6,593,1707,0,0,0
6,626,1707,0,0,1
6,4620,1707,0,0,0
6,567,1707,0,6,5
6,946,1707,0,0,0
6,641,1707,0,8,11
6,2550,1707,0,1,0
6,1078,1707,0,0,0
