sku_group_id,item_quantity,vending_machine_id,warehouse_id
24838,3,92,1
20519,12,90,1
33528,8,92,1
33770,3,92,1
24865,4,92,1
32599,6,92,1
21656,7,92,1
20523,13,92,1
14894,12,92,1
24838,5,92,1
19502,4,92,1
19500,3,92,1
12441,3,92,1
33529,3,92,1
17951,6,92,1
32599,4,92,1
32348,10,92,1
19500,4,92,1
12327,5,92,1
31322,5,92,1
18556,5,92,1
12327,4,92,1
21656,4,92,1
32599,6,92,1
27897,3,92,1
23548,6,92,1
21656,4,92,1
32598,7,92,1
34143,5,92,1
17952,4,92,1
20852,16,92,1
12327,5,92,1
32348,10,92,1
13744,4,92,1
24866,5,93,1
14017,4,92,1
19501,3,93,1
21820,5,92,1
14172,5,93,1
33528,8,92,1
17951,6,93,1
12441,5,92,1
16037,5,93,1
21820,6,92,1
12854,3,93,1
33770,3,92,1
18556,3,93,1
18556,3,93,1
17951,3,93,1
12441,3,93,1
34143,5,93,1
19500,4,93,1
32179,2,93,1
12854,5,93,1
13135,6,93,1
24843,4,93,1
32598,4,93,1
21820,4,93,1
13848,2,94,1
13744,4,93,1
32599,6,99,1
20848,13,93,1
19502,6,99,1
32598,3,93,1
12417,6,99,1
21820,5,93,1
32179,8,99,1
14694,4,93,1
23151,4,99,1
34143,5,93,1
33770,5,99,1
12327,6,93,1
33527,8,99,1
23514,3,93,1
20519,8,99,1
32599,8,94,1
32598,3,99,1
13135,4,94,1
19432,1,99,1
12441,3,99,1
12327,1,99,1
30484,4,99,1
30484,6,99,1
21820,5,99,1
23151,3,99,1
32599,3,99,1
32599,2,99,1
12327,7,99,1
33770,5,99,1
19432,8,99,1
12327,6,99,1
16037,1,99,1
13744,6,99,1
33526,2,99,1
16037,3,99,1
17952,2,99,1
12441,4,99,1
27897,2,99,1
17952,4,99,1
33770,2,99,1
23151,4,99,1
26214,3,99,1
34434,9,3400,1
32597,3,99,1
18105,4,3400,1
21656,6,99,1
13135,4,1459,1
31322,8,99,1
12327,4,3400,1
23151,3,99,1
22926,2,3747,1
18556,6,99,1
13135,6,3400,1
21656,7,99,1
34411,2,3400,1
34434,7,2008,1
19500,3,3400,1
12327,1,2008,1
20848,12,3400,1
8446,4,2009,1
24866,3,3400,1
32597,4,2009,1
13848,6,3400,1
13848,3,2009,1
30484,3,3402,1
22921,4,2009,1
25610,3,3402,1
13622,1,2009,1
20852,6,3402,1
25610,11,2009,1
30940,3,3402,1
14694,5,2009,1
23638,5,1579,1
19311,1,2009,1
12327,2,3402,1
23637,1,2009,1
30484,3,2205,1
34006,1,2009,1
13786,6,2205,1
24866,2,2009,1
15430,3,5116,1
23260,3,2009,1
32348,7,1638,1
32597,1,2010,1
33770,3,1640,1
8446,6,2010,1
16037,2,1640,1
16405,3,2010,1
25610,2,1640,1
12632,2,2010,1
18105,2,1640,1
19434,1,2010,1
23637,2,138,1
12545,3,2010,1
32179,2,138,1
16037,2,2010,1
13744,4,138,1
16405,2,2010,1
33530,3,138,1
22556,1,2012,1
18556,5,138,1
33530,2,138,1
27897,3,138,1
32597,3,138,1
18556,2,138,1
13744,2,138,1
33528,2,138,1
24866,3,138,1
20519,12,138,1
32599,2,138,1
12485,5,138,1
12417,6,138,1
20852,10,138,1
32597,6,138,1
33528,3,138,1
12327,5,138,1
33771,2,1137,1
33529,3,138,1
37994,2,1137,1
18556,5,138,1
18106,3,2127,1
22124,5,1723,1
12854,3,2127,1
36036,3,1723,1
30820,6,2127,1
36486,4,1723,1
12795,3,1137,1
20848,11,1723,1
36632,2,1137,1
19501,2,1723,1
44068,15,1137,1
38749,3,1723,1
36639,2,5128,1
36636,2,1723,1
13743,4,2151,1
13744,4,1724,1
12327,3,2151,1
14167,5,1724,1
32555,7,2151,1
36088,7,1724,1
19500,2,2151,1
30191,2,1724,1
22926,2,2151,1
12327,3,3398,1
25610,4,2151,1
18105,6,3400,1
12327,3,4421,1
38049,5,3400,1
32597,3,4421,1
37045,3,3400,1
30484,2,4797,1
35079,5,3400,1
13848,2,1680,1
20808,3,2012,1
12327,3,1680,1
30941,1,2012,1
42778,4,1143,1
13744,2,2012,1
25609,3,4797,1
32597,2,2025,1
13743,2,4797,1
25609,6,1782,1
25609,8,5139,1
21851,7,1782,1
13744,4,4425,1
19500,5,1782,1
22926,2,4426,1
25610,7,1782,1
20808,4,4426,1
30484,4,3400,1
20519,4,4441,1
30820,4,3402,1
33531,3,4441,1
19500,2,3402,1
16037,2,5139,1
22124,3,3408,1
