mvid,mrp,offer_price,zoho_id,vendor_price,variant_id,variant_name,product_id,product_name,brand_id,brand_name
"30,629",20,20,201333000040836001,12.5,8272,Alo Frut Kiwi Aloevera Juice Rs 20,"5,816",Alo Frut Kiwi Aloevera Juice Rs 20,"1,795",Alo Frut
"30,631",10,10,201333000040825153,6.36,9827,Bonn cheese cracker,"3,930",Bonn classic Bourbonn Biscuits Rs 10,"2,055",Bonn 
"30,632",10,10,201333000040829143,6.36,6826,Americana Butter Cookies Rs 10,"4,469",Americana Butter Cookies Rs 10,"2,055",Bonn 
"30,633",10,10,201333000040836072,6.36,6827,Americana Coconut Cookies Rs 10,"4,470",Americana Coconut Cookies Rs 10,"2,055",Bonn 
"30,634",10,10,201333000040832143,6.36,6828,Americana Digestive Biscuits Rs 10,"4,471",Americana Digestive Biscuits Rs 10,"2,055",Bonn 
"30,635",10,10,201333000040829214,6.36,9828,Americano Cashew Cookies,"3,795",Americano Cashew Cookies,"2,055",Bonn 
"30,636",20,20,201333000040819285,12.5,5414,Puzzles Aloo Bhujia Rs 20,"3,200",Aloo Bhujia Rs 20,"1,781",Puzzles
"30,637",20,20,201333000040838001,12.5,6030,Puzzles Ratlami Sev Rs 20,"3,728",Puzzles Ratlami Sev Rs 20,"1,781",Puzzles
"30,638",10,10,201333000040817143,6.69,3741,Puzzles Party Mix,"2,026",Puzzles Party Mix Rs 10,"1,781",Puzzles
"30,642",125,125,201333000040836214,125,3560,Red Bull Energy Drink Rs 125,"1,846",Red Bull Energy Drink Rs 125,"1,641",Red Bull
"30,645",30,30,201333000040819360,18.21,9088,Meow Crispy Black Magic Rs 30,"6,617",Meow Crispy Black Magic Rs 30,"2,399",Meow
"30,647",30,30,201333000040818286,18.21,9084,Meow Crispy Peri Peri Chips ,"6,613",Meow Crispy Peri Peri Chips Rs 30,"2,399",Meow
"30,649",10,10,201333000040833214,6.19,9501,Nuttoz Peanut Chikki Rs 10,"7,029",Nuttoz Peanut Coconut Chikki Rs 10,"2,406",Nuttoz
"30,651",25,25,201333000040831143,14.51,9825,Nuttoz Roasted Cashew Rs 25,"7,328",Nuttoz Roasted Cashew Rs 25,"2,406",Nuttoz
"30,655",20,20,201333000040842001,12.5,8277,Alo frut Mango Aloevera Juice Rs 20,"5,821",Alo frut Mango Aloevera Juice Rs 20,"1,795",Alo Frut
"30,657",20,20,201333000040817285,12.5,8278,Alo frut Mosambi Aloevera Juice Rs 20,"5,822",Alo frut Mosambi Aloevera Juice Rs 20,"1,795",Alo Frut
"30,659",20,20,201333000040820145,12.5,4552,Alo Frut Berries,"2,415",Alo Frut Berries,"1,795",Alo Frut
"30,660",20,20,201333000040840143,12.5,8272,Alo Frut Kiwi Aloevera Juice Rs 20,"5,816",Alo Frut Kiwi Aloevera Juice Rs 20,"1,795",Alo Frut
"30,664",20,20,201333000040818357,12.5,8271,Makino Roasted Salted ,"5,815",Makino Roasted ,16,Makino
"30,666",20,20,201333000040842072,12.5,8270,Makino Roasted Hing Jeera ,"5,814",Makino,16,Makino
"30,677",10,10,201333000040856002,6.53,4377,Cadbury Dairy Milk,"2,304",Cadbury Dairy Milk,"1,457",Cadbury
"30,678",10,10,201333000040852073,7.63,9748,Haldirams Peeloz Strawberry Rs 15,"7,261",Haldirams Peeloz Strawberry Rs 15,"1,523",Haldirams 2
"30,679",10,10,201333000040863001,7.63,575,Frooti Rs 10,538,Frooti,"1,506",Frooti
"30,680",10,10,201333000040864001,6.36,4431,Americana Butter Cookies Rs 10,"1,760",Americana  Biscuits ,"1,793",Americana  Biscuits 
"30,681",10,10,201333000040866002,6.36,3070,Americana  Cheese Cracker Biscuits  Rs 10,"1,760",Americana  Biscuits ,"1,793",Americana  Biscuits 
"30,682",10,10,201333000040867001,6.36,6827,Americana Coconut Cookies Rs 10,"4,470",Americana Coconut Cookies Rs 10,"2,055",Bonn 
"30,683",10,10,201333000040863072,6.36,6828,Americana Digestive Biscuits Rs 10,"4,471",Americana Digestive Biscuits Rs 10,"2,055",Bonn 
"30,684",20,20,201333000040868001,12.71,4430,Americana Coconut Cookies Rs 20,"1,867",American Coconut Cookies ,"1,793",Americana  Biscuits 
"30,685",10,10,201333000040867072,6.36,4433,Americana Cashew Cookies Rs 10,"1,760",Americana  Biscuits ,"1,793",Americana  Biscuits 
"30,686",20,20,201333000040869001,12.5,5414,Puzzles Aloo Bhujia Rs 20,"3,200",Aloo Bhujia Rs 20,"1,781",Puzzles
"30,687",20,20,201333000040870001,12.5,6030,Puzzles Ratlami Sev Rs 20,"3,728",Puzzles Ratlami Sev Rs 20,"1,781",Puzzles
"30,688",10,10,201333000040871001,6.69,6378,Puzzles Nut Cracker ,"4,062",Puzzles Nut Cracker ,"1,781",Puzzles
"30,689",10,10,201333000040872001,6.69,3741,Puzzles Party Mix,"2,026",Puzzles Party Mix Rs 10,"1,781",Puzzles
"30,703",20,20,201333000040901073,11.61,9195,Nuttoz Peanut Cracker Masala Rs 20,"6,727",Nuttoz Peanut Cracker Masala Rs 20,"2,406",Nuttoz
"30,704",20,20,201333000040902073,11.61,9193,Nuttoz Green Peas Masala Rs 20,"6,725",Nuttoz Green Peas Masala Rs 20,"2,406",Nuttoz
"30,705",25,25,201333000040911001,14.51,9825,Nuttoz Roasted Cashew Rs 25,"7,328",Nuttoz Roasted Cashew Rs 25,"2,406",Nuttoz
"30,706",20,20,201333000040896074,11.61,9490,Nuttoz Roasted Peanut Salted Rs 20,"7,018",Nuttoz Roasted Peanut Salted Rs 20,"2,406",Nuttoz
"30,709",10,10,201333000040911072,7.63,1811,Haldiram Chips Pudina Treat Rs15,"1,431",Haldiram Chips Pudina ,"1,523",Haldirams 2
"30,710",10,10,201333000040928031,7.63,6024,Haldirams Panga Tangy Tomato Rs 20,"3,722",Haldirams Panga Tangy Tomato Rs 20,"1,523",Haldirams 2
"30,711",10,10,201333000040931090,7.63,9834,Haldirams Panga Achari Masti ,"3,722",Haldirams Panga Tangy Tomato Rs 20,"1,523",Haldirams 2
"30,712",30,30,201333000040896145,22.5,9319,Snickers Almond Rs 30,"6,849",Snickers Almond Rs 30,"1,856",Snickers 
"30,729",50,50,201333000040952012,32.14,8907,Crizpo Banana Chips Green chilli Delight Rs 60,"6,431",Crizpo Banana Chips Green chilli Delight Rs 60,"2,337",Crizpo
