warehouse ID,cleaned SKU,SUM of Quantity Received
6,43287,1108
6,43288,662
6,43977,2160
6,43980,960
6,43987,960
6,43988,1530
6,44244,1600
6,44514,9312
6,44516,8760
6,45129,300
6,45130,570
6,45148,1200
6,45166,1512
6,45167,6000
6,45168,1200
6,45170,1200
6,45171,1200
6,45172,1200
6,45221,7920
8,10890,61440
8,10945,15840
8,10953,390
8,10975,4632
8,10977,56736
8,10990,6600
8,10995,2760
8,11018,55500
8,11021,45144
8,11025,2280
8,11055,7968
8,11067,50520
8,11068,69660
8,11104,14640
8,11145,5960
8,11162,4560
8,11164,576
8,11168,4080
8,11178,1980
8,11189,58212
8,11235,68400
8,11253,48192
8,11382,17280
8,11420,36630
8,11464,4608
8,11820,8960
8,11955,8640
8,11979,1920
8,11980,1440
8,11996,3600
8,12001,61824
8,12084,2400
8,12118,4080
8,12119,840
8,12170,1200
8,14635,480
8,14803,480
8,15100,1980
8,15209,9792
8,15569,3600
8,15675,213192
8,15984,2131
8,16347,54900
8,16549,1200
8,18581,7380
8,19505,38976
8,19956,43848
8,20863,12400
8,21799,2400
8,21800,6840
8,21813,5760
8,22234,12480
8,23030,1080
8,23159,2400
8,23265,24080
8,24028,480
8,24118,5950
8,24213,23040
8,24214,78048
8,24833,17280
8,24834,19680
8,24851,3600
8,24852,5400
8,24877,19000
8,24878,19000
8,25426,4800
8,25480,257
8,25481,1062
8,25482,187
8,25483,230
8,25484,198
8,25485,197
8,25517,36000
8,25518,21600
8,25721,3000
8,26851,2400
8,26939,38208
8,27207,216
8,27209,4128
8,27693,3000
8,27696,47700
8,27723,960
8,27771,27072
8,28053,2640
8,29576,2640
8,30186,8000
8,30221,8100
8,30429,2040
8,31263,768
8,31298,480
8,31323,4320
8,31680,4800
8,32143,24192
8,32181,3600
8,32738,900
8,33309,600
8,33375,2496
8,33455,300
8,33626,700
8,33627,1400
8,33861,480
8,33863,7992
8,33864,6930
8,34405,5040
8,34431,33120
8,34452,7224
8,34453,6264
8,34701,5590
8,35334,15480
8,35393,10500
8,35394,1800
8,35693,10800
8,36095,17040
8,36303,2400
8,36360,1900
8,36386,1350
8,36394,10800
8,36399,3500
8,36400,6000
8,36401,5328
8,36498,11520
8,36499,9360
8,36503,24020
8,36652,4992
8,37046,6450
8,37047,11340
8,37270,19350
8,37273,3000
8,37285,76560
8,37493,74160
8,37697,5760
8,37838,6120
8,38390,480
8,38391,480
8,38989,15438
8,38990,13600
8,39739,1440
8,39740,1440
8,39832,11808
8,40052,1800
8,40058,1008
8,40059,1020
8,40060,1020
8,40509,3960
8,40972,11520
8,40974,8832
8,41236,1560
8,41238,800
8,42157,9504
8,42741,8550
8,42742,6000
8,42743,3552
8,42744,3100
8,43534,2300
8,43677,960
8,43702,540
8,43727,4560
8,43730,2880
8,43735,2400
8,43736,1500
8,43737,7680
8,43738,3150
8,43995,600
8,44047,1620
8,44069,2816
8,44115,2952
8,44116,8400
8,44384,450
8,44385,450
8,44386,450
8,44604,446
8,44924,500
8,44929,936
8,44934,2010
8,44957,2000
8,45047,1080
8,45048,960
8,45054,780
8,45155,800
8,45156,500
8,45373,720
8,45468,800
8,45469,498
8,45536,1728
8,45561,1020
8,45583,1000
8,45584,1000
8,45585,1000
8,45586,1000
8,45661,1152
8,45662,1152
8,45664,540
8,45669,1620
8,45672,1056
8,45674,1000
8,45677,420
8,45695,1200
8,45696,960
8,45756,360
9,8479,1008
9,8489,240
9,8490,216
9,8533,900
9,8537,816
9,8560,2100
9,8565,4500
9,8587,180
9,8595,1200
9,8597,476
9,8603,2700
9,8610,400
9,8613,1008
9,8614,816
9,8617,6216
9,8619,6216
9,8626,2160
9,8627,9312
9,8629,9810
9,8630,2160
9,8634,840
9,8637,2184
9,8639,7168
9,8641,1650
9,8642,2409
9,8646,1404
9,8650,600
9,8654,600
9,8656,672
9,8657,1200
9,8660,684
9,8661,240
9,8662,1116
9,8663,720
9,8664,1080
9,8665,408
9,8671,1152
9,8680,5320
9,8686,264
9,8687,540
9,8709,450
9,8937,150
9,8952,640
9,8955,840
